X,Y,Red,Green,Blue
1152,595,217,204,182
1153,595,217,204,183
1154,595,222,210,187
1155,595,228,217,194
1156,595,228,217,194
1157,595,228,217,194
1158,595,229,218,195
1159,595,229,218,195
1160,595,227,216,193
1161,595,227,216,193
1162,595,227,216,193
1163,595,227,216,193
1164,595,227,216,193
1165,595,227,216,193
1166,595,229,218,195
1167,595,229,218,195
1168,595,229,218,195
1169,595,229,218,195
1170,595,229,218,195
1171,595,229,219,195
1172,595,229,218,195
1173,595,228,217,194
1174,595,228,217,193
1175,595,227,216,193
1176,595,227,216,193
1177,595,230,219,196
1178,595,230,219,196
1179,595,230,219,196
1180,595,229,218,195
1181,595,228,217,194
1182,595,226,215,192
1183,595,222,211,189
1184,595,222,211,189
1185,595,222,211,189
1186,595,221,210,188
1187,595,222,211,188
1188,595,224,213,191
1189,595,223,212,191
1190,595,223,212,191
1191,595,225,214,193
1192,595,226,215,194
1193,595,226,215,194
1194,595,225,214,192
1195,595,225,214,192
1196,595,225,214,192
1197,595,225,214,192
1198,595,225,214,192
1199,595,225,214,192
1200,595,225,214,192
1201,595,225,214,192
1202,595,225,214,192
1203,595,225,214,192
1204,595,225,214,192
1205,595,218,208,185
1206,595,216,206,183
1207,595,216,206,183
1208,595,209,195,171
1209,595,190,168,139
1210,595,170,138,104
1211,595,167,134,101
1212,595,177,148,119
1213,595,201,180,160
1214,595,199,177,155
1215,595,158,136,119
1216,595,111,91,78
1217,595,107,82,66
1218,595,131,98,76
1219,595,129,96,75
1220,595,125,93,73
1221,595,125,93,73
1222,595,125,93,74
1129,596,48,32,25
1130,596,98,69,52
1131,596,137,97,72
1132,596,122,90,68
1133,596,116,86,66
1134,596,119,88,68
1135,596,126,93,72
1136,596,133,98,76
1137,596,134,99,77
1138,596,125,92,72
1139,596,97,71,55
1140,596,72,51,39
1141,596,114,105,89
1142,596,180,170,150
1143,596,202,188,164
1144,596,194,167,138
1145,596,176,140,109
1146,596,161,129,101
1147,596,171,142,115
1148,596,200,184,159
1149,596,216,203,180
1150,596,216,203,181
1151,596,218,206,184
1152,596,220,208,187
1153,596,220,209,188
1154,596,223,212,190
1155,596,228,217,194
1156,596,228,217,194
1157,596,229,218,195
1158,596,229,218,195
1159,596,229,218,195
1160,596,227,216,193
1161,596,227,216,193
1162,596,227,216,193
1163,596,227,216,193
1164,596,227,216,193
1165,596,227,216,193
1166,596,227,216,193
1167,596,229,218,195
1168,596,229,218,195
1169,596,228,217,194
1170,596,229,218,195
1171,596,229,218,195
1172,596,229,218,194
1173,596,228,217,194
1174,596,230,219,195
1175,596,229,218,195
1176,596,229,218,195
1177,596,230,219,196
1178,596,230,219,196
1179,596,230,219,196
1180,596,230,219,196
1181,596,229,218,195
1182,596,226,215,192
1183,596,222,211,189
1184,596,222,211,189
1185,596,221,210,188
1186,596,222,211,188
1187,596,222,211,189
1188,596,223,212,191
1189,596,222,211,190
1190,596,222,210,190
1191,596,225,213,192
1192,596,226,214,193
1193,596,225,214,193
1194,596,225,214,192
1195,596,225,214,192
1196,596,225,214,192
1197,596,225,214,192
1198,596,225,214,192
1199,596,225,214,192
1200,596,226,215,193
1201,596,225,214,193
1202,596,225,214,192
1203,596,225,214,192
1204,596,225,214,192
1205,596,219,208,185
1206,596,216,206,183
1207,596,216,206,183
1208,596,216,206,183
1209,596,210,197,173
1210,596,191,169,141
1211,596,169,137,104
1212,596,166,133,99
1213,596,178,149,119
1214,596,191,167,143
1215,596,196,173,151
1216,596,154,139,122
1217,596,104,90,78
1218,596,103,78,62
1219,596,137,102,80
1220,596,127,95,74
1221,596,125,93,73
1222,596,118,88,70
1129,597,99,70,52
1130,597,139,98,73
1131,597,123,87,65
1132,597,115,84,65
1133,597,122,90,69
1134,597,128,95,73
1135,597,133,98,76
1136,597,137,102,78
1137,597,129,96,74
1138,597,97,71,55
1139,597,70,49,38
1140,597,110,102,86
1141,597,188,177,156
1142,597,200,189,167
1143,597,194,165,136
